t,px,py,pz,gp,gr,qx,qy,qz,qw,qnorm,gx,gy,gz,lvx,lvy,lvz,avx,avy,avz,lpx,lpy,lpz,lqw,nav4,nav5,nav6,nav7,nav8,nav9
22.40,62.9678,65.8712,112.1481,0.00,0.00,0.00000,0.00000,0.00000,0.00000,0.00000,,,,0.0001,0.0000,0.0000,0.00000,0.00000,0.00000,62.9678,65.8712,112.1481,0.00000,111.27,360.00,360.00,360.00,180.00,180.00
23.10,62.9678,65.8712,112.1481,-0.00,-0.00,0.00000,0.00000,0.00000,0.00000,0.00000,,,,0.0000,0.0000,0.0000,0.00000,0.00000,-0.00000,62.9678,65.8712,112.1481,0.00000,111.27,0.00,0.00,0.00,180.00,180.00
23.80,62.9678,65.8712,112.1481,-0.00,-0.00,0.00000,0.00000,0.00000,0.00000,0.00000,,,,0.0000,0.0000,0.0000,0.00000,0.00000,-0.00000,62.9678,65.8712,112.1481,0.00000,111.27,0.00,0.00,0.00,180.00,180.00
24.50,62.9678,65.8712,112.1481,-0.00,-0.00,0.00000,0.00000,0.00000,0.00000,0.00000,,,,0.0000,0.0000,0.0000,0.00000,0.00000,-0.00000,62.9678,65.8712,112.1481,0.00000,111.27,0.00,0.00,0.00,180.00,180.00
25.20,62.9678,65.8712,112.1481,-0.00,-0.00,0.00000,0.00000,0.00000,0.00000,0.00000,,,,0.0000,0.0000,0.0000,0.00000,0.00000,-0.00000,62.9678,65.8712,112.1481,0.00000,111.27,0.00,0.00,0.00,180.00,180.00
25.90,62.9678,65.8712,112.1481,-0.00,-0.00,0.00000,0.00000,0.00000,0.00000,0.00000,,,,0.0000,0.0000,0.0000,0.00000,0.00000,-0.00000,62.9678,65.8712,112.1481,0.00000,111.27,0.00,0.00,0.00,180.00,180.00
26.60,62.9678,65.8712,112.1481,-0.00,-0.00,0.00000,0.00000,0.00000,0.00000,0.00000,,,,0.0000,0.0000,0.0000,0.00000,0.00000,-0.00000,62.9678,65.8712,112.1481,0.00000,111.27,0.00,0.00,0.00,180.00,180.00
27.30,62.9678,65.8712,112.1481,-0.00,-0.00,0.00000,0.00000,0.00000,0.00000,0.00000,,,,0.0000,0.0000,0.0000,0.00000,0.00000,-0.00000,62.9678,65.8712,112.1481,0.00000,111.27,0.00,0.00,0.00,180.00,180.00
28.00,62.9678,65.8712,112.1481,-0.00,-0.00,0.00000,0.00000,0.00000,0.00000,0.00000,,,,0.0000,0.0000,0.0000,0.00000,0.00000,-0.00000,62.9678,65.8712,112.1481,0.00000,111.27,0.00,0.00,0.00,180.00,180.00
28.70,62.9678,65.8712,112.1481,-0.00,-0.00,0.00000,0.00000,0.00000,0.00000,0.00000,,,,0.0000,0.0000,0.0000,0.00000,0.00000,-0.00000,62.9678,65.8712,112.1481,0.00000,111.27,0.00,0.00,0.00,180.00,180.00
29.40,62.9678,65.8712,112.1481,-0.00,-0.00,0.00000,0.00000,0.00000,0.00000,0.00000,,,,0.0000,0.0000,0.0000,0.00000,0.00000,-0.00000,62.9678,65.8712,112.1481,0.00000,111.27,0.00,0.00,0.00,180.00,180.00
